run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Best Check;  Copy Data; Total Time ; 
 4; 15; 5; 4096; 0.00009; 0.00075; 0.00005; 0.00208;  0.07434; 0.00090;  0.00090; 0.00002 ;  17727.694994 ; 1.140397 ;
 0; 15; 5; 8192; 0.00011; 0.00074; 0.00005; 0.00208;  0.12254; 0.00179;  0.00179; 0.00006 ;  17619.335426 ; 1.890389 ;
 1; 15; 5; 8192; 0.00011; 0.00078; 0.00007; 0.00211;  0.12275; 0.00179;  0.00179; 0.00002 ;  17787.924456 ; 1.886874 ;
 2; 15; 5; 8192; 0.00011; 0.00075; 0.00005; 0.00211;  0.12249; 0.00179;  0.00179; 0.00003 ;  17606.294539 ; 1.882892 ;
 3; 15; 5; 8192; 0.00011; 0.00076; 0.00005; 0.00211;  0.12261; 0.00179;  0.00179; 0.00002 ;  17311.803505 ; 1.884799 ;
 4; 15; 5; 8192; 0.00011; 0.00075; 0.00005; 0.00211;  0.12286; 0.00179;  0.00179; 0.00005 ;  17569.273653 ; 1.888837 ;
 0; 15; 6; 1024; 0.00254; 0.01697; 0.00212; 0.04682;  4.53007; 0.00879;  0.00879; 0.00007 ;  65288.030970 ; 68.293820 ;
 1; 15; 6; 1024; 0.00254; 0.01697; 0.00212; 0.04682;  4.53007; 0.00879;  0.00879; 0.00007 ;  65288.030970 ; 68.293820 ;
 2; 15; 6; 1024; 0.00254; 0.01697; 0.00212; 0.04682;  4.53007; 0.00879;  0.00879; 0.00007 ;  65288.030970 ; 68.293820 ;
 3; 15; 6; 1024; 0.00254; 0.01697; 0.00212; 0.04682;  4.53007; 0.00879;  0.00879; 0.00007 ;  65288.030970 ; 68.293820 ;
 4; 15; 6; 1024; 0.00254; 0.01697; 0.00212; 0.04682;  4.53007; 0.00879;  0.00879; 0.00007 ;  65288.030970 ; 68.293820 ;
 0; 15; 6; 2048; 0.00009; 0.01865; 0.00147; 0.03207;  4.65822; 0.01749;  0.01749; 0.00007 ;  63729.870599 ; 70.214166 ;
 1; 15; 6; 2048; 0.00009; 0.01865; 0.00147; 0.03207;  4.65822; 0.01749;  0.01749; 0.00007 ;  63729.870599 ; 70.214166 ;
 2; 15; 6; 2048; 0.00009; 0.01865; 0.00147; 0.03207;  4.65822; 0.01749;  0.01749; 0.00007 ;  63729.870599 ; 70.214166 ;
 3; 15; 6; 2048; 0.00009; 0.01865; 0.00147; 0.03207;  4.65822; 0.01749;  0.01749; 0.00007 ;  63729.870599 ; 70.214166 ;
 4; 15; 6; 2048; 0.00009; 0.01865; 0.00147; 0.03207;  4.65822; 0.01749;  0.01749; 0.00007 ;  63729.870599 ; 70.214166 ;
 0; 15; 6; 4096; 0.00009; 0.01888; 0.00151; 0.03228;  5.73316; 0.03499;  0.03499; 0.00007 ;  64781.891099 ; 86.605073 ;
 1; 15; 6; 4096; 0.00009; 0.01888; 0.00151; 0.03228;  5.73316; 0.03499;  0.03499; 0.00007 ;  64781.891099 ; 86.605073 ;
 2; 15; 6; 4096; 0.00009; 0.01888; 0.00151; 0.03228;  5.73316; 0.03499;  0.03499; 0.00007 ;  64781.891099 ; 86.605073 ;
 3; 15; 6; 4096; 0.00009; 0.01888; 0.00151; 0.03228;  5.73316; 0.03499;  0.03499; 0.00007 ;  64781.891099 ; 86.605073 ;
 4; 15; 6; 4096; 0.00009; 0.01888; 0.00151; 0.03228;  5.73316; 0.03499;  0.03499; 0.00007 ;  64781.891099 ; 86.605073 ;
 0; 15; 6; 8192; 0.00011; 0.01755; 0.00150; 0.03307;  13.01940; 0.07000;  0.07000; 0.00005 ;  63199.100808 ; 196.426139 ;
 1; 15; 6; 8192; 0.00011; 0.01755; 0.00150; 0.03307;  13.01940; 0.07000;  0.07000; 0.00005 ;  63199.100808 ; 196.426139 ;
