run, iterations, problem, colony size, Setup rand Kernel, read map, Distance Kernel, Iroulete , Route , Pheromone, Best Check,  Copy Data,Fitness ,Total Time,,
1,15,5,1024,8E-05,0.00079,5E-05,0.00207,0.0665,0.00025,0.00025,2E-05,17946.915741,1.007548,read,0.000924
2,15,5,1024,7E-05,0.00076,6E-05,0.00208,0.06652,0.00025,0.00025,3E-05,17698.158594,1.007659,dist,5.6E-05
3,15,5,1024,7E-05,0.00078,5E-05,0.00207,0.06625,0.00025,0.00025,3E-05,17742.686398,1.003656,roulete,0.002266
4,15,5,1024,7E-05,0.00077,5E-05,0.00207,0.0665,0.00025,0.00025,5E-05,17734.003441,1.007399,route,0.066888
0,,,,,,,,,,,,,,phero,0.000252
0,,,,,,,,,,,,,,check,0.000252
0,,,,,,,,,,,,,,cpy,3.8E-05
0,,,,,,,,,,,,,,total,1.0535314
0,15,5,2048,7E-05,0.00077,5E-05,0.00207,0.0668,0.00046,0.00046,2E-05,17539.884696,1.016881,rand,7.8E-05
1,15,5,2048,8E-05,0.00076,5E-05,0.00207,0.0668,0.00046,0.00046,2E-05,17731.215981,1.01701,read,0.000766
2,15,5,2048,8E-05,0.00079,5E-05,0.00207,0.06705,0.00046,0.00046,2E-05,17848.227763,1.020593,dist,5E-05
3,15,5,2048,8E-05,0.00076,5E-05,0.00208,0.06726,0.00047,0.00047,2E-05,17932.498822,1.024094,roulete,0.002074
4,15,5,2048,8E-05,0.00075,5E-05,0.00208,0.06739,0.00046,0.00046,2E-05,17471.888289,1.025826,route,0.06706
0,,,,,,,,,,,,,,phero,0.000462
0,,,,,,,,,,,,,,check,0.000462
0,,,,,,,,,,,,,,cpy,2E-05
0,,,,,,,,,,,,,,total,1.0208808
0,15,5,4096,9E-05,0.00078,5E-05,0.00208,0.0744,0.0009,0.0009,5E-05,17466.847362,1.141011,rand,9E-05
1,15,5,4096,9E-05,0.00076,5E-05,0.00208,0.07433,0.0009,0.0009,2E-05,17382.168962,1.140143,read,0.000758
2,15,5,4096,9E-05,0.00076,5E-05,0.00208,0.07431,0.0009,0.0009,2E-05,17516.816075,1.139443,dist,5E-05
3,15,5,4096,9E-05,0.00074,5E-05,0.00208,0.07423,0.0009,0.0009,2E-05,17821.542578,1.138387,roulete,0.00208
4,15,5,4096,9E-05,0.00075,5E-05,0.00208,0.07434,0.0009,0.0009,2E-05,17727.694994,1.140397,route,0.074322
0,,,,,,,,,,,,,,phero,0.0009
0,,,,,,,,,,,,,,check,0.0009
0,,,,,,,,,,,,,,cpy,2.6E-05
0,,,,,,,,,,,,,,total,1.1398762
0,15,5,8192,0.00011,0.00074,5E-05,0.00208,0.12254,0.00179,0.00179,6E-05,17619.335426,1.890389,rand,0.00011
1,15,5,8192,0.00011,0.00078,7E-05,0.00211,0.12275,0.00179,0.00179,2E-05,17787.924456,1.886874,read,0.000756
2,15,5,8192,0.00011,0.00075,5E-05,0.00211,0.12249,0.00179,0.00179,3E-05,17606.294539,1.882892,dist,5.4E-05
3,15,5,8192,0.00011,0.00076,5E-05,0.00211,0.12261,0.00179,0.00179,2E-05,17311.803505,1.884799,roulete,0.002104
4,15,5,8192,0.00011,0.00075,5E-05,0.00211,0.12286,0.00179,0.00179,5E-05,17569.273653,1.888837,route,0.12265
0,,,,,,,,,,,,,,phero,0.00179
0,,,,,,,,,,,,,,check,0.00179
0,,,,,,,,,,,,,,cpy,3.6E-05
0,,,,,,,,,,,,,,total,1.8867582
0,15,6,1024,0.00254,0.01697,0.00212,0.04682,4.53007,0.00879,0.00879,7E-05,65288.03097,68.29382,rand,0.00254
1,15,6,1024,0.00254,0.01697,0.00212,0.04682,4.53007,0.00879,0.00879,7E-05,65288.03097,68.29382,read,0.01697
2,15,6,1024,0.00254,0.01697,0.00212,0.04682,4.53007,0.00879,0.00879,7E-05,65288.03097,68.29382,dist,0.00212
3,15,6,1024,0.00254,0.01697,0.00212,0.04682,4.53007,0.00879,0.00879,7E-05,65288.03097,68.29382,roulete,0.04682
4,15,6,1024,0.00254,0.01697,0.00212,0.04682,4.53007,0.00879,0.00879,7E-05,65288.03097,68.29382,route,4.53007
0,,,,,,,,,,,,,,phero,0.00879
0,,,,,,,,,,,,,,check,0.00879
0,,,,,,,,,,,,,,cpy,7E-05
0,,,,,,,,,,,,,,total,68.29382
0,15,6,2048,9E-05,0.01865,0.00147,0.03207,4.65822,0.01749,0.01749,7E-05,63729.870599,70.214166,rand,9E-05
1,15,6,2048,9E-05,0.01865,0.00147,0.03207,4.65822,0.01749,0.01749,7E-05,63729.870599,70.214166,read,0.01865
2,15,6,2048,9E-05,0.01865,0.00147,0.03207,4.65822,0.01749,0.01749,7E-05,63729.870599,70.214166,dist,0.00147
3,15,6,2048,9E-05,0.01865,0.00147,0.03207,4.65822,0.01749,0.01749,7E-05,63729.870599,70.214166,roulete,0.03207
4,15,6,2048,9E-05,0.01865,0.00147,0.03207,4.65822,0.01749,0.01749,7E-05,63729.870599,70.214166,route,4.65822
0,,,,,,,,,,,,,,phero,0.01749
0,,,,,,,,,,,,,,check,0.01749
0,,,,,,,,,,,,,,cpy,7E-05
0,,,,,,,,,,,,,,total,70.214166
0,15,6,4096,9E-05,0.01888,0.00151,0.03228,5.73316,0.03499,0.03499,7E-05,64781.891099,86.605073,rand,9E-05
1,15,6,4096,9E-05,0.01888,0.00151,0.03228,5.73316,0.03499,0.03499,7E-05,64781.891099,86.605073,read,0.01888
2,15,6,4096,9E-05,0.01888,0.00151,0.03228,5.73316,0.03499,0.03499,7E-05,64781.891099,86.605073,dist,0.00151
3,15,6,4096,9E-05,0.01888,0.00151,0.03228,5.73316,0.03499,0.03499,7E-05,64781.891099,86.605073,roulete,0.03228
4,15,6,4096,9E-05,0.01888,0.00151,0.03228,5.73316,0.03499,0.03499,7E-05,64781.891099,86.605073,route,5.73316
0,,,,,,,,,,,,,,phero,0.03499
0,,,,,,,,,,,,,,check,0.03499
0,,,,,,,,,,,,,,cpy,7E-05
0,,,,,,,,,,,,,,total,86.605073
0,15,6,8192,0.00011,0.01755,0.0015,0.03307,13.0194,0.07,0.07,5E-05,63199.100808,196.426139,rand,0.00011
1,15,6,8192,0.00011,0.01755,0.0015,0.03307,13.0194,0.07,0.07,5E-05,63199.100808,196.426139,read,0.01755
2,15,6,8192,0.00011,0.01755,0.0015,0.03307,13.0194,0.07,0.07,5E-05,63199.100808,196.426139,dist,0.0015
3,15,6,8192,0.00011,0.01755,0.0015,0.03307,13.0194,0.07,0.07,5E-05,63199.100808,196.426139,roulete,0.03307
4,15,6,8192,0.00011,0.01755,0.0015,0.03307,13.0194,0.07,0.07,5E-05,63199.100808,196.426139,route,13.0194
0,,,,,,,,,,,,,,phero,0.07
0,,,,,,,,,,,,,,check,0.07
0,,,,,,,,,,,,,,cpy,5E-05
0,,,,,,,,,,,,,,total,196.426139
0,15,7,1024,0.00253,0.0447,0.00014,0.00515,0.17673,0.00055,0.00055,7E-05,50226.879025,2.847358,rand,0.000564
1,15,7,1024,8E-05,0.00149,0.0001,0.0035,0.17418,0.00054,0.00054,4E-05,50034.365323,2.630457,read,0.010118
